id,text,l1,l2,l3,file
3.16,"Compilers, version control clients, development utilities, and software development kits are analyzed and monitored for tampering, trojans, or malicious code",False,False,True,0x12-V3-Build_Environment.md
3.17,All build-time manipulations to source or binaries are known and well defined,True,True,True,0x12-V3-Build_Environment.md
3.18,Checksums of all first-party and third-party components are documented for every build,True,True,True,0x12-V3-Build_Environment.md
3.19,Checksums of all components are accessible and delivered out-of-band whenever those components are packaged or distributed,False,True,True,0x12-V3-Build_Environment.md
3.20,Unused direct and transitive components have been identified,False,False,True,0x12-V3-Build_Environment.md
3.21,Unused direct and transitive components have been removed from the application,False,False,True,0x12-V3-Build_Environment.md
4.1,Binary components are retrieved from a package repository,True,True,True,0x13-V4-Package_Management.md
4.2,Package repository contents are congruent to an authoritative point of origin for open source components,True,True,True,0x13-V4-Package_Management.md
4.3,Package repository requires strong authentication,False,True,True,0x13-V4-Package_Management.md
4.4,Package repository supports multi-factor authentication component publishing,False,True,True,0x13-V4-Package_Management.md
4.5,Package repository components have been published with multi-factor authentication,False,False,True,0x13-V4-Package_Management.md
4.6,Package repository supports security incident reporting,False,True,True,0x13-V4-Package_Management.md
4.7,Package repository automates security incident reporting,False,False,True,0x13-V4-Package_Management.md
4.8,Package repository notifies publishers of security issues,False,True,True,0x13-V4-Package_Management.md
4.9,Package repository notifies users of security issues,False,False,True,0x13-V4-Package_Management.md
4.10,Package repository provides a verifiable way of correlating component versions to specific source codes in version control,False,True,True,0x13-V4-Package_Management.md
4.11,Package repository provides auditability when components are updated,True,True,True,0x13-V4-Package_Management.md
4.12,Package repository requires code signing to publish packages to production repositories,False,True,True,0x13-V4-Package_Management.md
4.13,Package manager verifies the integrity of packages when they are retrieved from remote repository,True,True,True,0x13-V4-Package_Management.md
4.14,Package manager verifies the integrity of packages when they are retrieved from file system,True,True,True,0x13-V4-Package_Management.md
4.15,Package repository enforces use of TLS for all interactions,True,True,True,0x13-V4-Package_Management.md
4.16,Package manager validates TLS certificate chain to repository and fails securely when validation fails,True,True,True,0x13-V4-Package_Management.md
4.17,Package repository requires and/or performs static code analysis prior to publishing a component and makes results available for others to consume,False,False,True,0x13-V4-Package_Management.md
4.18,Package manager does not execute component code,True,True,True,0x13-V4-Package_Management.md
4.19,Package manager documents package installation in machine-readable form,True,True,True,0x13-V4-Package_Management.md
5.1,Component can be analyzed with linters and/or static analysis tools,True,True,True,0x14-V5-Component_Analysis.md
5.2,Component is analyzed using linters and/or static analysis tools prior to use,False,True,True,0x14-V5-Component_Analysis.md
5.3,Linting and/or static analysis is performed with every upgrade of a component,False,True,True,0x14-V5-Component_Analysis.md
5.4,An automated process of identifying all publicly disclosed vulnerabilities in third-party and open source components is used,True,True,True,0x14-V5-Component_Analysis.md
5.5,An automated process of identifying confirmed dataflow exploitability is used,False,False,True,0x14-V5-Component_Analysis.md
5.6,An automated process of identifying non-specified component versions is used,True,True,True,0x14-V5-Component_Analysis.md
5.7,An automated process of identifying out-of-date components is used,True,True,True,0x14-V5-Component_Analysis.md
5.8,An automated process of identifying end-of-life / end-of-support components is used,False,False,True,0x14-V5-Component_Analysis.md
5.9,An automated process of identifying component type is used,False,True,True,0x14-V5-Component_Analysis.md
5.10,An automated process of identifying component function is used,False,False,True,0x14-V5-Component_Analysis.md
5.11,An automated process of identifying component quantity is used,True,True,True,0x14-V5-Component_Analysis.md
5.12,An automated process of identifying component license is used,True,True,True,0x14-V5-Component_Analysis.md
6.1,Point of origin is verifiable for source code and binary components,False,True,True,0x15-V6-Pedigree_and_Provenance.md
6.2,Chain of custody if auditable for source code and binary components,False,False,True,0x15-V6-Pedigree_and_Provenance.md
6.3,Provenance of modified components is known and documented,True,True,True,0x15-V6-Pedigree_and_Provenance.md
6.4,Pedigree of component modification is documented and verifiable,False,True,True,0x15-V6-Pedigree_and_Provenance.md
6.5,Modified components are uniquely identified and distinct from origin component,False,True,True,0x15-V6-Pedigree_and_Provenance.md
6.6,Modified components are analyzed with the same level of precision as unmodified components,True,True,True,0x15-V6-Pedigree_and_Provenance.md
6.7,Risk unique to modified components can be analyzed and associated specifically to modified variant,True,True,True,0x15-V6-Pedigree_and_Provenance.md

